"dataset","formato","URLdataset","URLsezione","tracciaRecordAttributi","UbicazionePresenzaAttributo","IndirizzoCompletoPresenzaAttributo","DatiCatastaliPresenzaAttributo","SuperficiePresenzaAttributo","PeriodoCostruzionePresenzaAttributo","ValoreAttualePresenzaAttributo","NonPubblicato","PubblicatoMale","URIdbpediaEnte"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareVerona",,,"http://portale.comune.verona.it/nqcontent.cfm?a_id=899",,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Verona"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareCosenza",,,"http://cosenza.etrasparenza.it/pagina734_patrimonio-immobiliare.html",,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Cosenza"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareCrotone",,,"http://www.contrasparenza.it/id16-arg81-Patrimonio-immobiliare",,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Crotone"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareMassa","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://trasparenza.comune.massa.ms.it/sites/trasparenza.sites/files/allegati/FABBRICATI%281%29.pdf","http://trasparenza.comune.massa.ms.it/node/7250","Inventario , Inventario elem. , Foglio , Mappale , Subalterno , Descrizione , Indirizzo",1,0,1,0,0,0,,,"http://it.dbpedia.org/resource/Massa_%28Italia%29"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareVicenza","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.vicenza.it/file/102161-beniimmobilicomunevicenza.pdf","http://www.comune.vicenza.it/amministrazione/trasparente/beniimmobili.php","denominazione del bene, codice comune, fogglio catasto, particella/mappale catasto, subalterno",1,0,1,0,0,0,,,"http://it.dbpedia.org/resource/Vicenza"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareTrani","http://trasparenza.nexacenter.org/id/Xls","http://www.comune.trani.bt.it/userfiles/files/AmmTrasparente/Patrimonio/elenco_immobili_locazione_uso_occupati.xls","http://www.comune.trani.bt.it/AmministrazioneTrasparente/Dataview.aspx?id=420","PROPRIETA' , UBICAZIONE , 	LOCATARIO/CONCESSIONARIO STRUMENTALE ALL'ESERCIZIO DELLE FUNZIONI ISTITUZIONALI/BENI DEMANIALI	ENTRATA 31/10/05	previsione 2007	 , contratto  , OCCUPATO SENZA TITOLO",1,0,0,1,0,0,,,"http://it.dbpedia.org/resource/Trani"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareTrapani","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.trapani.it/web/attachments/article/1092/Elenco%20fabbricati.pdf","http://www.comune.trapani.it/web/index.php/beni-immobili-e-gestione-patrimonio/122-amministrazione-trasparente/1092-patrimonio-immobiliare","Descrizione , Ubicazione , Fogli , Particella , Subalterno",1,0,1,0,0,0,,,"http://it.dbpedia.org/resource/Trapani"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareComo","http://trasparenza.nexacenter.org/id/Xls","http://www.comune.como.it/export/sites/como/uffici-comunali/area-opere-pubbliche/settore-patrimonio/patrimonio/servizi/tabella/Elenco_completo_di_tutti_gli_alloggi_al_06.09.2012.xls","http://www.comune.como.it/amministrazione-trasparente/beni-immobili-e-gestione-patrimonio/patrimonio-immobiliare/","Totale alloggi di proprietà , Alloggi di E.R.P. , Note alloggi E.R.P. , Extra E.R.P. , Note alloggi extra ERP",1,0,0,0,0,0,,,"http://it.dbpedia.org/resource/Como"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareCremona","http://trasparenza.nexacenter.org/id/Html_tabellare","https://sportelloweb.comune.cremona.it/online/initProcess.do?processName=it.people.fsl.servizi.trasparenza.patrimonio.online","http://www.comune.cremona.it/PostCE-display-ceid-4491.phtml","Riferimenti Catastali , Indirizzo , Classificazione , Tipologia , Canone annuo",1,0,1,0,0,1,,,"http://it.dbpedia.org/resource/Cremona"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareFoggia",,,"http://www.comune.foggia.it/in-attivazione/",,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Foggia"
